  25 2025    1    1    0    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    1    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    2    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    3    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    4    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    5    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    6    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    7    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    8    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1    9    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   10    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   11    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   12    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   13    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   14    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   15    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   16    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   17    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   18    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   19    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   20    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   21    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   22    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    1   23    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    0    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    1    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    2    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    3    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    4    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    5    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    6    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    7    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    8    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2    9    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   10    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   11    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   12    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   13    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   14    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   15    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   16    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   17    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   18    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   19    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   20    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   21    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   22    10.0000   180.0000     5.0000   180.0000    15.0000
  25 2025    1    2   23    10.0000   180.0000     5.0000   180.0000    15.0000
